PUMACE10,PUMA_4dig,Column1,county_fip,county_name,GEOID10,NAME10,,,Column1,Column2,Column3,Column4,Column5,Column6,PUMA
3414,3414,3414,,Cook,1703414,Cook County (South)--Bloom & Rich Townships,,,17,127,1784730,0500000US17127,17127,Massac,
3415,3415,3415,,Cook,1703415,Cook County (North)--Wheeling Township (North & East),,,17,109,1784729,0500000US17109,17109,McDonough,0202
3416,3416,3416,,Cook,1703416,Cook County (Northeast)--Northfield & New Trier Townships,,,17,111,1784815,0500000US17111,17111,McHenry,
3417,3417,3417,,Cook,1703417,Cook County (Northwest)--Hanover & Schaumburg (Northwest) Townships,,,17,113,1784833,0500000US17113,17113,McLean,2000
3418,3418,3418,,Cook,1703418,Cook County (Northwest)--Schaumburg Township (South & Central),,,17,129,424266,0500000US17129,17129,Menard,1602
3419,3419,3419,,Cook,1703419,Cook County (Northwest)--Elk Grove & Wheeling (Southwest) Townships,,,17,131,1784750,0500000US17131,17131,Mercer,0202
3420,3420,3420,,Cook,1703420,"Cook County (North)--Maine, Norwood Park Townships & Chicago City--Edison Park",,,17,133,1784865,0500000US17133,17133,Monroe,1001
3421,3421,3421,,Cook,1703421,Cook County (North)--Niles & Evanston Townships,,,17,135,1784866,0500000US17135,17135,Montgomery,0501
3422,3422,3422,,Cook,1703422,"Cook County (West)--Leyden, Norwood Park (South) Townships & Chicago City--O'Hare",,,17,137,424270,0500000US17137,17137,Morgan,0401
3501,3501,3501,,Cook,1703501,"Chicago City (North)--Edgewater, Uptown & Rogers Park",,,17,139,1784885,0500000US17139,17139,Moultrie,1602
3502,3502,3502,,Cook,1703502,Chicago City (North)--Lake View & Lincoln Park,,,17,141,1784894,0500000US17141,17141,Ogle,2700
3503,3503,3503,,Cook,1703503,"Chicago City (North)--West Ridge, Lincoln Square & North Center",,,17,143,1784920,0500000US17143,17143,Peoria,1701
3504,3504,3504,,Cook,1703504,"Chicago City (Northwest)--Irving Park, Albany Park, Forest Glen & North Park",,,17,145,1784940,0500000US17145,17145,Perry,0104
3520,3520,3520,,Cook,1703520,"Chicago City (Northwest)--Portage Park, Dunning & Jefferson Park",,,17,147,424275,0500000US17147,17147,Piatt,1602
3521,3521,3521,,Cook,1703521,"Chicago City (West)--Austin, Belmont Cragin & Montclare",,,17,149,1784941,0500000US17149,17149,Pike,0300
3522,3522,3522,,Cook,1703522,"Chicago City (Northwest)--Logan Square, Avondale & Hermosa",,,17,151,424277,0500000US17151,17151,Pope,
3523,3523,3523,,Cook,1703523,"Chicago City (West)--North & South Lawndale, Humboldt Park, East & West Garfield Park",,,17,153,1784966,0500000US17153,17153,Pulaski,
3524,3524,3524,,Cook,1703524,"Chicago City (West)--West Town, Near West Side & Lower West Side",,,17,155,424279,0500000US17155,17155,Putnam,
3525,3525,3525,,Cook,1703525,"Chicago City (Central)--Near North Side, Loop & Near South Side",,,17,157,1784967,0500000US17157,17157,Randolph,1001
3526,3526,3526,,Cook,1703526,"Chicago City (Southwest)--Brighton Park, New City, Bridgeport & McKinley Park",,,17,159,424281,0500000US17159,17159,Richland,0700
3527,3527,3527,,Cook,1703527,"Chicago City (Southwest)--Gage Park, Garfield Ridge & West Lawn",,,17,161,424282,0500000US17161,17161,Rock Island,0105
3528,3528,3528,,Cook,1703528,"Chicago City (South)--Chicago Lawn, Englewood/West Englewood & Greater Grand Crossing",,,17,165,424283,0500000US17165,17165,Saline,
3529,3529,3529,,Cook,1703529,"Chicago City (South)--South Shore, Hyde Park, Woodlawn, Grand Boulevard & Douglas",,,17,167,1785010,0500000US17167,17167,Sangamon,1300
3530,3530,3530,,Cook,1703530,"Chicago City (South)--Ashburn, Washington Heights, Morgan Park & Beverly",,,17,169,1785037,0500000US17169,17169,Schuyler,0300
3531,3531,3531,,Cook,1703531,"Chicago City (South)--Auburn Gresham, Roseland, Chatham, Avalon Park & Burnside",,,17,171,424286,0500000US17171,17171,Scott,0401
3532,3532,3532,,Cook,1703532,"Chicago City (South)--South Chicago, Pullman, West Pullman, East Side & South Deering",,,17,173,1785051,0500000US17173,17173,Shelby,1602
3601,3601,3601,,McHenry,1703601,"McHenry County (North, West & Central)",,,17,163,1784987,0500000US17163,17163,St. Clair,
3602,3602,3602,,McHenry,1703602,"McHenry County (Southeast)--Algonquin, McHenry & Nunda Townships",,,17,175,424288,0500000US17175,17175,Stark,2501
3700,3700,3700,,,1703700,Kendall & Grundy Counties,,,17,177,1785076,0500000US17177,17177,Stephenson,2700
,,,,,,,,,17,179,1785094,0500000US17179,17179,Tazewell,1900
,,,,,,,,,17,181,1785113,0500000US17181,17181,Union,
,,,,,,,,,17,183,1785114,0500000US17183,17183,Vermilion,2200
,,,,,,,,,17,185,424293,0500000US17185,17185,Wabash,
,,,,,,,,,17,187,1785134,0500000US17187,17187,Warren,0202
,,,,,,,,,17,189,1785150,0500000US17189,17189,Washington,1001
,,,,,,,,,17,191,424296,0500000US17191,17191,Wayne,0700
,,,,,,,,,17,193,424297,0500000US17193,17193,White,
,,,,,,,,,17,195,1785167,0500000US17195,17195,Whiteside,0104
,,,,,,,,,17,197,1785190,0500000US17197,17197,Will,
,,,,,,,,,17,199,1785215,0500000US17199,17199,Williamson,0900
,,,,,,,,,17,201,1785216,0500000US17201,17201,Winnebago,
,,,,,,,,,17,203,1785231,0500000US17203,17203,Woodford,2501
